Seed	CV	CpuTime	PRPD
7630	67	13.0802	1.08767e+06
22215	71	11.0889	1.15263e+06
18220	66	16.0383	1.07146e+06
22249	74	11.0907	1.20131e+06
31876	61	12.0064	990286
22573	62	13.0506	1.00652e+06
8400	64	11.0966	1.03898e+06
18501	63	13.0269	1.02273e+06
22006	62	14.0509	1.00649e+06
12033	61	13.0737	990276
11046	66	13.0253	1.07144e+06
26161	68	13.0443	1.10391e+06
14581	73	11.0706	1.18509e+06
31351	61	13.0762	990280
16931	74	13.0085	1.20131e+06
15611	69	12.0868	1.12015e+06
10461	69	14.0269	1.12015e+06
30803	70	13.0198	1.13638e+06
11820	67	11.0207	1.08769e+06
32210	66	13.0879	1.07144e+06
5233	66	11.0171	1.07144e+06
14984	62	17.0338	1.0065e+06
29431	67	13.021	1.08767e+06
18713	70	12.0662	1.13638e+06
14036	63	12.09	1.02274e+06
12590	71	10.042	1.15262e+06
24529	69	12.0597	1.12014e+06
12637	72	15.0518	1.16885e+06
30514	62	12.0738	1.00651e+06
30964	70	12.004	1.13637e+06
25278	71	11.0343	1.15261e+06
10432	73	13.0988	1.18508e+06
32642	72	12.0891	1.16884e+06
18236	68	10.075	1.10393e+06
25541	73	15.0682	1.18506e+06
7021	73	13.0251	1.18509e+06
10140	63	14.0585	1.02274e+06
10351	63	15.0872	1.02273e+06
10180	68	10.0902	1.10392e+06
26496	62	16.0185	1.0065e+06
15922	62	14.0145	1.00651e+06
29372	72	12.0482	1.16885e+06
5385	63	16.0046	1.02275e+06
9376	67	12.0432	1.08767e+06
9077	59	17.0507	957790
27857	55	13.0813	892881
7502	66	13.0199	1.07147e+06
4754	62	17.0375	1.0065e+06
26265	66	12.0477	1.07144e+06
21458	70	12.0558	1.13638e+06
606	68	14.001	1.10391e+06
30684	68	11.0866	1.1039e+06
10621	60	13.0732	974047
31157	69	11.0545	1.12015e+06
29634	66	17.02	1.07144e+06
30182	69	14.0338	1.12015e+06
32411	64	11.0394	1.03899e+06
4238	66	13.0974	1.07146e+06
1333	67	13.0896	1.08767e+06
24726	63	12.092	1.02275e+06
14620	64	12.0901	1.03899e+06
31974	75	12.0318	1.21754e+06
31873	63	16.0446	1.02274e+06
9346	72	12.0181	1.16886e+06
26952	62	15.0595	1.00649e+06
32587	66	14.0852	1.07144e+06
10216	73	12.0379	1.18508e+06
997	68	13.0665	1.10392e+06
25823	69	11.0257	1.12014e+06
9811	61	13.0748	990282
12424	64	10.0819	1.039e+06
15305	69	15.0506	1.12015e+06
13472	64	13.0308	1.03899e+06
32614	71	15.0161	1.1526e+06
15516	67	12.0782	1.0877e+06
15540	65	13.0372	1.05521e+06
26809	72	12.0549	1.16885e+06
19178	70	13.006	1.13638e+06
29502	70	12.01	1.13637e+06
4722	74	11.0756	1.20131e+06
7234	71	13.0894	1.15261e+06
19356	64	14.0508	1.03898e+06
6757	70	13.0969	1.13637e+06
28089	65	13.0491	1.05521e+06
12315	69	14.0376	1.12013e+06
27387	67	12.0745	1.08768e+06
7059	67	12.0156	1.08769e+06
2194	62	14.0653	1.00652e+06
18619	68	12.0432	1.10392e+06
10592	69	13.0443	1.12014e+06
31993	60	17.0699	974037
21492	70	14.0252	1.13638e+06
17863	69	11.0608	1.12014e+06
8618	67	12.038	1.08766e+06
10776	61	16.06	990279
3572	75	11.0366	1.21756e+06
16472	67	14.0007	1.08769e+06
25773	70	18.055	1.13637e+06
11443	64	16.0261	1.03899e+06
17582	63	14.0654	1.02275e+06
