Seed	CV	CpuTime	PRPD
7630	72	0.0166753	1.16897e+06
22215	78	0.0110459	1.26641e+06
18220	76	0.0178882	1.23391e+06
22249	78	0.0135455	1.2664e+06
31876	78	0.0112166	1.2664e+06
22573	79	0.0139309	1.28263e+06
8400	76	0.0153547	1.23392e+06
18501	78	0.0135772	1.2664e+06
22006	78	0.0149806	1.26639e+06
12033	77	0.0157333	1.25015e+06
11046	78	0.0125288	1.26642e+06
26161	74	0.0125877	1.20145e+06
14581	78	0.0153639	1.26642e+06
31351	78	0.0148978	1.26639e+06
16931	76	0.0176725	1.23393e+06
15611	76	0.0093633	1.23396e+06
10461	76	0.0131337	1.23394e+06
30803	78	0.0120335	1.26638e+06
11820	78	0.0131024	1.2664e+06
32210	74	0.0180624	1.20146e+06
5233	77	0.019687	1.25016e+06
14984	75	0.0138001	1.21771e+06
29431	78	0.0157297	1.26641e+06
18713	75	0.0150974	1.21768e+06
14036	76	0.0174999	1.23394e+06
12590	76	0.0134039	1.23391e+06
24529	78	0.0172476	1.2664e+06
12637	75	0.0142834	1.2177e+06
30514	72	0.0143189	1.169e+06
30964	74	0.0170712	1.20146e+06
25278	78	0.0156539	1.26639e+06
10432	78	0.0137909	1.26637e+06
32642	76	0.0125465	1.23393e+06
18236	79	0.0121832	1.28264e+06
25541	77	0.0121101	1.25018e+06
7021	78	0.0142701	1.2664e+06
10140	75	0.017703	1.21771e+06
10351	76	0.0178671	1.23391e+06
10180	78	0.0138485	1.2664e+06
26496	74	0.013393	1.20149e+06
15922	73	0.0143211	1.18523e+06
29372	77	0.0142644	1.25015e+06
5385	76	0.0147591	1.23393e+06
9376	76	0.0120662	1.23395e+06
9077	76	0.0211088	1.2339e+06
27857	74	0.0106866	1.20148e+06
7502	76	0.014896	1.23393e+06
4754	72	0.0124917	1.16899e+06
26265	76	0.014775	1.23391e+06
21458	78	0.0133863	1.26641e+06
606	76	0.0139691	1.23392e+06
30684	77	0.0133812	1.25017e+06
10621	75	0.0149221	1.21768e+06
31157	76	0.0177835	1.23393e+06
29634	78	0.0126135	1.26642e+06
30182	74	0.0192132	1.20146e+06
32411	75	0.0139091	1.21769e+06
4238	75	0.0138221	1.21769e+06
1333	75	0.0134088	1.21768e+06
24726	75	0.0174297	1.21766e+06
14620	72	0.0209149	1.16899e+06
31974	77	0.01424	1.25016e+06
31873	76	0.0125023	1.23392e+06
9346	78	0.0107857	1.26641e+06
26952	73	0.013779	1.18521e+06
32587	76	0.0124766	1.23394e+06
10216	79	0.0134897	1.28264e+06
997	76	0.0116314	1.23393e+06
25823	76	0.0160271	1.23392e+06
9811	75	0.0146992	1.21769e+06
12424	75	0.0178337	1.21769e+06
15305	79	0.0139715	1.28264e+06
13472	75	0.0133934	1.21769e+06
32614	76	0.0138797	1.23392e+06
15516	76	0.0149218	1.23393e+06
15540	76	0.0151775	1.23393e+06
26809	75	0.0134479	1.21772e+06
19178	74	0.0147591	1.20149e+06
29502	78	0.0130212	1.26641e+06
4722	79	0.0156471	1.28263e+06
7234	77	0.0139141	1.25017e+06
19356	76	0.0134551	1.23394e+06
6757	76	0.0169989	1.23393e+06
28089	72	0.0170668	1.16898e+06
12315	77	0.015727	1.25017e+06
27387	75	0.0108118	1.21771e+06
7059	75	0.0157152	1.21768e+06
2194	77	0.0165202	1.25015e+06
18619	78	0.0134963	1.26639e+06
10592	77	0.0189386	1.25016e+06
31993	71	0.0124524	1.15275e+06
21492	78	0.0104248	1.26641e+06
17863	78	0.016487	1.26638e+06
8618	75	0.0134161	1.21768e+06
10776	77	0.0165074	1.25016e+06
3572	78	0.0112342	1.2664e+06
16472	77	0.0151173	1.25017e+06
25773	76	0.0149441	1.23391e+06
11443	75	0.0138989	1.2177e+06
17582	76	0.0134176	1.23393e+06
