Seed	CV	CpuTime	PRPD
760	73	0.00747029	990628
259	76	0.00979008	1.03135e+06
4635	77	0.00820393	1.04488e+06
15969	72	0.0127424	977044
23405	75	0.00876936	1.01774e+06
30512	77	0.0101981	1.04491e+06
5332	76	0.00774992	1.03131e+06
3134	74	0.0114319	1.0042e+06
19295	78	0.0107948	1.05847e+06
24578	76	0.0103085	1.03133e+06
19733	77	0.0079879	1.0449e+06
22433	78	0.00789327	1.05847e+06
9603	79	0.0116208	1.07204e+06
16268	73	0.0095867	990637
11708	75	0.0141193	1.01775e+06
16204	73	0.00887613	990630
10157	77	0.00971373	1.04491e+06
29399	77	0.011629	1.0449e+06
7663	74	0.00681027	1.0042e+06
26876	74	0.0107717	1.0042e+06
313	76	0.0128988	1.03132e+06
28229	74	0.00872611	1.00421e+06
5039	77	0.0112209	1.0449e+06
27067	75	0.0120817	1.01775e+06
9321	73	0.00610425	990628
6136	79	0.00802731	1.07204e+06
19714	76	0.0109851	1.03134e+06
27295	72	0.0100088	977039
2518	77	0.00845253	1.04491e+06
30089	76	0.00805689	1.03133e+06
31287	79	0.00616596	1.07203e+06
15754	76	0.00890575	1.03134e+06
13045	76	0.0100757	1.03132e+06
13255	77	0.00800728	1.04491e+06
21549	74	0.00758995	1.00421e+06
27706	74	0.00761781	1.00419e+06
27160	76	0.0126486	1.03133e+06
26244	78	0.0116874	1.05846e+06
27816	79	0.0123303	1.07203e+06
2766	76	0.00928531	1.03134e+06
27695	79	0.00805295	1.07205e+06
4081	78	0.0140294	1.05846e+06
9836	74	0.00728946	1.0042e+06
3583	73	0.0147699	990624
26473	74	0.012568	1.00419e+06
21276	77	0.00929971	1.04489e+06
24607	76	0.00543319	1.03134e+06
13377	76	0.00919464	1.03133e+06
14767	77	0.0112281	1.0449e+06
16674	75	0.00897316	1.01778e+06
10481	76	0.00889294	1.03132e+06
26550	77	0.0130667	1.04489e+06
3628	75	0.00635266	1.01777e+06
28818	78	0.0113623	1.05845e+06
10320	76	0.00877609	1.03133e+06
10682	76	0.00993696	1.03134e+06
1869	77	0.0100943	1.0449e+06
27583	73	0.00856767	990630
32347	73	0.00735976	990640
12030	74	0.00823589	1.0042e+06
24890	73	0.00798009	990618
21207	76	0.00984439	1.03133e+06
12105	77	0.0106804	1.04491e+06
1973	75	0.00452285	1.01777e+06
11601	76	0.00934159	1.03134e+06
13302	72	0.0099996	977044
28353	78	0.0107857	1.05848e+06
30510	77	0.00773434	1.04489e+06
11117	74	0.0106442	1.0042e+06
15689	79	0.00687606	1.07203e+06
10829	76	0.00868855	1.03135e+06
10980	73	0.00857041	990624
986	75	0.0101138	1.01777e+06
3695	70	0.0109302	949924
17721	76	0.0117179	1.03134e+06
13898	77	0.0104429	1.04491e+06
28353	78	0.010856	1.05848e+06
23467	72	0.0142978	977028
17118	77	0.0092101	1.04491e+06
754	73	0.0103064	990618
1505	76	0.0134081	1.03133e+06
11473	78	0.0101295	1.05845e+06
3181	72	0.00788491	977053
32288	76	0.00982539	1.03135e+06
27606	78	0.00957052	1.05844e+06
28477	77	0.00892503	1.04489e+06
19339	75	0.00679379	1.01777e+06
14683	76	0.00955723	1.03132e+06
7612	78	0.0076692	1.05848e+06
23882	73	0.00778386	990635
16002	73	0.00999683	990633
31879	77	0.00933817	1.04491e+06
11520	79	0.00952861	1.07204e+06
6434	77	0.00756124	1.0449e+06
13242	78	0.0089804	1.05847e+06
31942	77	0.0112635	1.04489e+06
22980	77	0.0108573	1.0449e+06
25504	77	0.00640984	1.04489e+06
10912	76	0.00873011	1.03134e+06
29371	77	0.00984863	1.0449e+06
