Seed	CV	CpuTime	PRPD
3773	0	27.0147	0.26738
20784	1	27.0705	13366
17840	0	27.0551	0.26738
15001	0	28.0714	0.26738
5771	0	28.061	0
11557	0	24.0718	0
22572	0	26.0687	0
17893	0	29.0338	0
23629	1	32.0498	13366
31292	0	28.0573	0
3797	0	31.0565	0
17679	0	29.0405	0
28162	0	30.0617	0.26738
18500	1	30.009	13366
3297	1	32.0678	13366
5224	0	30.0204	0
29702	0	28.0498	0.26738
14308	0	27.0724	0
30931	1	31.0742	13366
271	0	26.0564	0
13886	1	26.0398	13366
19001	0	25.0657	0.26738
30450	0	26.0979	0
11616	1	28.0708	13366
11474	0	29.0328	0.26738
15760	1	29.0488	13366
29945	0	28.0505	0
9291	0	27.0071	0
21562	1	28.0946	13366
26974	0	30.016	0
12982	0	30.0669	0
25256	0	30.0422	0
1415	1	30.0133	13366
32016	0	28.0264	0
21608	1	34.0048	13366
4210	0	29.0414	0
18658	0	32.035	0.26738
8334	0	30.0691	0
24144	0	28.0962	0
32587	0	28.0864	0
18769	1	26.0825	13366
6891	1	27.0242	13366
16134	0	32.0707	0
21537	5	32.0729	66843
25061	1	30.0363	13366
13527	0	29.0998	0
16063	0	25.0061	0
5578	0	26.0805	0
1525	0	25.0721	0.26738
9385	0	26.0707	0
24999	1	31.004	13366
22267	1	27.0777	13366
2868	0	28.0371	0
7462	0	28.0585	0
10704	0	31.0908	0
22323	0	29.0027	0
1691	0	30.0981	0
20146	1	28.0862	13366
14353	0	26.0386	0
7370	0	33.0158	0
20485	0	30.08	0
32677	0	27.0204	0
23140	1	34.0714	13366
5625	1	25.0864	13366
5919	1	27.0147	13366
10204	0	30.0698	0.26738
27857	0	31.0111	0.26738
13833	1	34.0999	13366
5092	0	27.0935	0
30111	0	32.0096	0
14200	1	26.09	13366
12378	0	29.0176	0
30930	0	29.0436	0
20332	1	29.0347	13366
23802	0	22.0981	0.26738
11015	1	28.0765	13366
26713	1	26.0441	13366
24179	0	29.0518	0
30228	0	25.0589	0
13770	0	31.0129	0
5476	0	30.0045	0.26738
4805	0	31.0487	0
20481	1	28.0275	13366
9674	1	32.0064	13366
10320	0	29.0626	0
14347	0	28.0721	0
32608	0	30.0219	0
31229	0	30.0653	0
486	0	27.085	0
22167	1	28.0718	13366
4072	0	26.0918	0.26738
289	0	31.0145	0
23067	1	27.053	13366
18496	0	30.0076	0
32273	0	25.0389	0
13685	0	29.0361	0.26738
11930	0	32.0226	0
2878	0	28.0459	0
14545	2	27.0875	26737.2
18104	1	29.0658	13366
