Seed	CV	CpuTime	PRPD
8072	36	22.0124	733227
20551	30	25.005	611026
31699	27	23.0166	549913
30281	32	20.0301	651767
21997	31	24.0777	631389
22764	32	22.0201	651759
3954	39	24.087	794314
9388	37	22.0033	753586
10113	34	22.0361	692478
4247	41	25.0518	835065
20560	43	21.0989	875794
23313	48	20.0288	977614
25904	31	29.0369	631381
22369	28	24.0808	570278
8822	33	24.0376	672117
1267	26	22.0052	529562
3919	34	26.0134	692485
6635	28	21.0193	570265
16988	23	23.0211	468447
22672	28	18.0677	570278
22941	38	21.0635	773955
3091	28	21.0336	570282
24466	24	25.0066	488812
1317	49	19.0737	997967
16751	23	28.0585	468449
26166	25	28.0638	509184
32099	33	18.0983	672115
4166	26	28.0092	529549
2566	32	23.0127	651746
20149	28	21.0756	570286
21395	23	25.0694	468441
31697	49	20.0147	997996
32601	37	22.0862	753585
23457	34	23.0033	692479
22847	42	20.0899	855411
14776	30	26.0105	611010
28981	37	22.0204	753585
28215	33	20.09	672096
29511	31	25.0685	631392
19740	32	26.0131	651749
32272	30	23.0819	611007
22076	44	15.0917	896158
5608	25	26.0396	509168
25544	38	18.0242	773961
29958	38	17.0634	773950
29344	23	21.0838	468460
28152	30	27.1	611016
20419	19	28.0374	386978
8054	32	24.0352	651753
1595	46	23.0026	936871
18072	27	28.0262	549904
23830	31	21.0651	631384
21065	33	22.0481	672111
23307	39	22.0551	794310
26351	39	24.0758	794322
29100	45	20.0114	916518
21535	48	17.0692	977632
22848	30	26.014	611018
12958	36	21.0232	733223
13535	31	22.0065	631385
12285	24	27.091	488803
17361	22	30.0147	448080
26721	29	24.0842	590643
25663	32	27.0671	651747
5715	34	19.0597	692488
22911	33	30.0254	672112
8950	39	18.0018	794316
26125	35	22.0799	712845
31132	21	28.0432	427720
29706	36	25.0172	733213
25465	22	27.0126	448085
19089	34	24.0507	692485
9539	31	25.035	631391
21726	38	20.0595	773962
22536	34	23.0098	692491
3665	33	27.0724	672120
4623	39	20.0912	794312
6602	38	22.086	773957
14081	33	20.0404	672121
22733	29	21.0372	590652
11364	29	23.0706	590641
5339	33	24.033	672113
22016	30	23.0201	611005
8355	35	23.0986	712858
18993	39	25.0984	794314
30979	36	17.0988	733222
17782	32	20.0808	651740
26785	38	21.0371	773944
11327	24	23.0804	488822
28646	30	21.0301	611019
8846	37	22.0525	753578
16056	36	19.0905	733221
20889	31	24.0054	631374
15316	33	22.0202	672119
3645	24	25.0562	488820
19568	22	30.0137	448074
30860	30	22.0416	611023
17640	22	29.0791	448092
27934	33	23.0096	672118
30797	18	29.0832	366615
