Seed	CV	CpuTime	PRPD
26161	0	34.0376	15.6652
11440	0	39.0039	2.36052
28899	1	35.0653	21481.5
28270	0	35.0723	10.515
31307	0	35.0676	8.3691
29724	0	27.0903	5.15021
27155	0	36.0578	8.3691
11415	0	34.0955	19.0987
3777	1	41.0381	21489.1
18212	0	38.0446	22.9614
18699	1	40.0109	21482
30175	0	29.0734	7.29614
16314	2	33.0974	42948.5
27264	0	30.0079	10.3004
10791	0	34.0686	19.9571
29268	0	37.0366	24.2489
29738	0	36.0506	22.3176
4234	0	37.0752	19.9571
32145	0	36.0194	17.8112
18359	0	35.053	30.0429
17259	0	31.0318	23.6052
21122	0	38.0131	16.309
672	0	31.0669	11.1588
4564	0	33.0687	14.8069
31120	0	34.0191	10.9442
4271	0	37.0351	19.5279
27484	1	40.0549	21487.3
3176	0	39.0957	10.3004
12971	0	40.0098	8.58369
31468	0	36.0674	28.3262
21531	0	34.0212	2.14592
23653	0	32.0285	15.8798
30878	0	32.0001	10.3004
2414	0	34.0804	19.0987
16224	0	35.0768	19.9571
24622	0	32.0591	18.0258
10723	0	31.0995	13.0901
8245	0	35.0919	17.5966
31361	2	31.0299	42947.4
13577	0	38.0141	13.9485
3743	0	34.0214	13.9485
10060	0	39.0941	8.58369
7541	0	29.0789	1.71674
5634	10	30.0412	214632
26061	0	31.0272	9.01288
2260	0	33.0332	13.3047
6478	0	29.0402	0
22251	0	35.0155	14.8069
30643	0	33.0856	14.8069
7635	0	36.0641	0.643777
8676	5	32.0372	107324
15666	0	30.0387	11.1588
12941	0	30.0538	7.72532
22400	0	34.0717	10.7296
5843	0	30.0503	0.858369
13051	0	36.0233	24.8927
4179	0	36.0411	22.9614
15359	0	39.0528	15.4506
27842	0	34.056	12.4464
16731	0	33.0302	8.58369
31885	0	34.0614	4.29185
4110	0	31.0165	4.07725
6280	0	30.0508	3.00429
8783	1	29.0597	21472.3
7662	0	33.0405	9.65665
30543	0	35.0682	12.2318
725	0	34.0148	21.6738
1925	0	34.0516	24.8927
24489	0	37.004	15.8798
4237	0	38.0169	11.1588
10771	0	30.0841	6.43777
29279	0	30.0132	11.588
25743	0	30.0116	17.382
1046	0	34.0333	6.65236
21950	0	37.0828	17.8112
25788	0	32.0198	13.0901
7235	0	31.0643	8.58369
11470	5	37.057	107332
13010	0	36.088	11.3734
31208	0	38.0872	6.86695
32361	0	33.0716	18.8841
16759	0	35.0953	17.382
9587	0	36.0902	9.65665
15622	0	29.0851	8.58369
1954	0	34.0689	12.6609
22886	0	33.0201	4.07725
22452	0	37.0325	14.5923
5831	0	31.0325	25.7511
28829	0	32.0946	17.1674
451	0	30.036	3.86266
20274	0	39.0843	22.5322
3842	0	37.0616	13.7339
19809	0	31.0922	6.00858
23371	0	37.0431	11.1588
8203	0	35.0388	19.0987
22061	0	35.0511	15.6652
13818	0	35.0222	9.44206
15784	4	33.0323	85855.2
5569	3	31.0494	64395.5
15066	0	33.0452	12.8755
