Seed	CV	CpuTime	PRPD
1038	0	16.0182	0
13912	0	17.0624	0
22684	0	15.0687	0
5933	0	15.0985	0
2942	2	15.0393	29982.3
6629	0	16.031	0
5547	0	15.0182	0
6555	0	17.0039	0
16127	1	16.0601	14990.9
3565	1	15.066	14990.9
17422	1	15.0315	14990.9
31449	1	15.0553	14990.9
17052	1	15.087	14990.9
16540	1	16.0693	14992.1
31177	0	17.0436	0
8435	0	15.0966	0
16394	1	18.0523	14990.9
22581	1	16.0208	14990.9
10764	0	15.0931	0
12641	0	16.0866	0
30919	0	16.0673	0
32549	1	16.0586	14991.3
1858	2	16.0775	29980.5
3588	0	15.0076	0
12136	1	17.0663	14990.9
3086	0	17.0149	0
8766	1	15.042	14990.7
11180	0	16.006	0
14277	0	16.0433	0
1010	1	19.0092	14990.9
14184	0	15.0565	0
9880	0	16.0433	0
30914	0	17.0916	0
11599	0	15.0183	0
21222	0	16.0674	0
1227	1	16.067	14992.1
18869	1	16.0627	14990.9
8826	0	15.0086	0
4207	0	14.0876	0
5110	1	15.0772	14990.7
4429	0	16.0464	0
4876	1	16.0647	14990.9
13262	1	18.0233	14990.9
6928	0	15.0104	0
17182	1	15.0876	14989.7
3066	0	15.0607	0
21391	2	15.0337	29980.5
26084	1	15.018	14990.9
2351	0	14.0559	0
28328	0	15.0185	0
497	1	16.0009	14990.9
6951	0	16.033	0
15058	1	15.095	14989.7
14131	0	14.0158	0
7717	0	15.0612	0
16230	0	16.0519	0
29890	0	15.0168	0
10155	1	16.0001	14990.9
25318	0	14.0847	0
27268	0	16.0291	0
13194	1	15.0215	14990.9
16037	1	16.0063	14990.9
19748	1	14.0925	14990.9
11345	0	14.0437	0
2596	0	14.07	0
18711	1	15.0231	14990.7
14592	0	15.0865	0
14706	0	16.0314	0
6110	2	16.076	29982.2
5806	0	16.0081	0
5557	1	16.0432	14990.9
11711	1	17.01	14990.9
22457	2	14.0419	29982
27418	0	16.0182	0
9562	1	16.0221	14990.9
17060	1	15.0581	14990.9
20234	0	15.0153	0
13154	0	15.0694	0
2497	0	16.0859	0
27898	0	17.0435	0
6834	0	15.0467	0
9376	0	16.025	0
3158	0	15.0607	0
31391	0	15.0796	0
28119	0	16.0365	0
16386	0	15.0858	0
17488	1	17.0638	14991.3
2517	0	15.0841	0
7495	0	16.0526	0
24207	0	14.0739	0
5344	1	15.059	14989.7
7825	1	15.0846	14990.9
22165	0	17.0162	0
25927	1	16.0663	14990.9
10123	1	16.024	14990.9
6718	0	17.0327	0
4788	2	15.0847	29980.5
8982	1	15.0232	14989.7
10433	1	16.0335	14990.9
9884	2	15.0327	29980.4
