Seed	CV	CpuTime	PRPD
14465	0	57.084	12.2951
9414	0	49.059	13.9344
25181	0	49.0846	11.8852
28507	0	48.0438	16.8033
23114	0	37.0725	14.3443
28755	0	44.0841	15.1639
4836	0	39.0559	11.6803
14515	0	54.024	10.8607
31999	0	46.0618	14.3443
316	0	49.0621	19.4672
16801	0	46.0104	12.5
17120	0	47.0637	12.5
15051	0	44.0278	9.42623
4060	0	36.0328	12.5
18025	0	38.0012	10.8607
15945	0	44.0451	13.1148
16197	0	41.0324	12.7049
21964	0	49.0692	15.9836
19370	0	35.01	16.5984
6578	0	47.0295	18.4426
9276	0	44.0425	11.2705
30866	0	41.0475	13.3197
26119	0	45.0459	12.0902
26863	0	45.0069	15.5738
12947	0	44	17.418
3095	0	43.0129	13.7295
19089	0	53.0803	13.9344
1408	0	46.0529	10.6557
21367	0	39.0105	23.1557
15985	0	38.0667	9.22131
32289	0	47.0073	16.3934
11603	0	48.0627	15.3689
24817	0	43.0564	10.2459
698	0	42.0686	16.5984
10634	1	42.05	20515.2
9573	0	55.0814	15.1639
17326	0	41.095	10.8607
29131	0	44.0914	4.30328
23499	0	43.0029	15.3689
10362	0	39.0248	6.55738
30813	0	50.0294	9.22131
23000	0	42.0809	17.623
8581	0	43.0908	11.4754
18609	0	43.0318	7.37705
27077	0	47.0241	9.83607
7438	0	43.0152	17.2131
14988	0	53.0026	9.22131
16290	0	51.0694	15.9836
13071	0	49.0749	10.6557
12245	0	44.0573	8.40164
29472	0	47.0743	23.1557
24871	0	39.0369	12.9098
27598	0	42.0968	21.1066
12502	0	39.0719	14.1393
13137	0	46.0876	12.7049
13881	0	50.0943	13.1148
24591	0	44.091	14.3443
12717	0	43.0877	20.2869
30095	0	43.0096	19.0574
5062	0	47.0139	17.8279
15378	0	43.0412	15.7787
25848	0	43.0931	20.4918
23393	0	52.0198	20.4918
15912	0	38.0993	7.17213
19220	0	55.0076	11.0656
7223	0	50.057	12.2951
3266	0	44.0458	13.7295
20852	0	39.0951	12.7049
12620	0	46.0109	15.3689
4916	0	47	11.8852
22222	0	44.0054	13.5246
11649	0	43.0118	18.4426
10781	0	39.0529	13.7295
22562	0	50.078	12.0902
18626	0	37.0017	16.1885
25136	0	46.0909	8.19672
22308	0	45.0749	12.7049
13809	0	47.0332	10.4508
26913	0	45.0744	14.1393
11903	0	47.0966	10.6557
5196	0	34.0974	16.8033
6506	0	42.0613	4.91803
751	0	38.0841	12.2951
8627	0	39.0068	14.1393
6518	0	43.0992	14.3443
11116	0	41.0115	11.6803
16997	0	39.0775	12.9098
5675	0	45.0585	11.2705
30220	0	39.0804	18.0328
4777	0	41.0359	17.0082
7395	0	37.0906	20.6967
7623	0	33.0355	11.6803
11524	0	48.0499	17.623
2468	0	42.0446	19.877
4188	0	43.024	13.5246
14947	0	46.0575	6.35246
28954	0	44.0483	10.041
2275	0	46.0901	14.7541
8959	0	46.0336	21.5164
13594	0	47.0821	13.7295
