Seed	CV	CpuTime	PRPD
14465	0	51.0624	21.1066
9414	0	52.0161	6.96721
25181	0	65.0412	11.4754
28507	0	50.0136	11.4754
23114	0	54.0303	12.5
28755	0	59.0262	5.12295
4836	0	55.0468	11.4754
14515	0	59.0137	11.4754
31999	0	54.0542	14.7541
316	0	44.0174	9.42623
16801	0	54.0489	10.041
17120	0	61.0163	5.53279
15051	0	48.0924	11.6803
4060	0	55.0943	15.7787
18025	0	58.0714	11.6803
15945	0	51.0866	22.541
16197	0	52.0643	9.42623
21964	0	59.0957	8.60656
19370	0	56.0185	11.2705
6578	0	53.0966	13.1148
9276	0	60.0171	7.78689
30866	0	50.0096	16.3934
26119	0	56.0849	7.37705
26863	0	66.0002	6.96721
12947	0	63.0372	11.6803
3095	0	56.0141	10.6557
19089	0	56.0847	12.5
1408	0	56.0857	9.83607
21367	0	54.0392	13.5246
15985	0	53.0546	6.7623
32289	0	67.0425	11.8852
11603	0	60.0854	7.58197
24817	0	56.0881	13.1148
698	0	64.066	4.71311
10634	0	50.0335	5.32787
9573	0	49.0587	9.42623
17326	0	51.0849	7.9918
29131	0	55.06	7.17213
23499	0	57.0538	12.2951
10362	0	45.0951	20.9016
30813	0	49.0445	18.4426
23000	0	53.0501	11.2705
8581	0	58.0945	4.5082
18609	0	55.0082	6.55738
27077	0	58.0827	9.01639
7438	0	54.035	20.9016
14988	0	60.075	18.4426
16290	0	72.028	14.959
13071	0	57.0351	9.42623
12245	0	54.018	13.3197
29472	0	51.003	13.9344
24871	0	59.0701	12.9098
27598	0	63.0496	15.5738
12502	0	53.0513	13.9344
13137	0	65.0702	9.42623
13881	0	59.0587	11.4754
24591	0	56.0413	14.5492
12717	0	59.0329	8.81148
30095	0	59.0581	10.041
5062	0	48.0232	17.418
15378	0	54.0285	10.041
25848	0	60.0409	14.5492
23393	0	60.095	14.5492
15912	0	53.0427	19.4672
19220	0	62.0088	6.55738
7223	0	62.0758	14.3443
3266	0	61.0617	7.37705
20852	0	61.016	10.2459
12620	0	56.0186	6.35246
4916	0	52.0486	14.1393
22222	0	51.0206	7.17213
11649	0	52.0444	6.35246
10781	0	60.0138	3.27869
22562	0	54.0846	17.623
18626	0	58.0602	11.8852
25136	0	45.0306	5.94262
22308	0	67.0197	12.5
13809	0	56.0885	8.40164
26913	0	59.0568	13.7295
11903	0	62.0338	8.81148
5196	0	43.0653	15.3689
6506	0	53.0673	3.89344
751	0	58.0419	5.12295
8627	0	68.0997	9.63115
6518	3	56.0266	61504.1
11116	0	65.0212	15.9836
16997	0	54.0097	12.5
5675	0	50.0941	8.60656
30220	0	62.0357	6.55738
4777	0	54.0119	5.53279
7395	0	48.0269	8.40164
7623	0	61.0045	10.8607
11524	0	61.0424	9.01639
2468	0	50.003	19.4672
4188	0	50.0962	14.3443
14947	0	53.0917	11.6803
28954	0	61.0626	9.83607
2275	0	55.0728	8.81148
8959	0	58.0881	11.8852
13594	0	58.0014	10.6557
