Seed	CV	CpuTime	PRPD
19924	0	52.0977	9.77273
14072	0	49.0521	12.9545
31426	0	44.0599	12.2727
2053	0	48.089	4.54545
12018	0	42.0718	12.0455
18357	0	53.0555	22.7273
19403	0	42.0802	12.0455
1954	0	50.0002	11.5909
13467	0	50.069	9.09091
14214	0	41.0623	18.4091
18024	0	46.0714	11.5909
3903	0	48.0544	15.9091
193	0	61.0067	12.9545
15295	0	45.0091	9.77273
7062	0	34.0551	9.77273
19083	0	33.0261	20
28225	0	53.0139	8.18182
28238	0	34.024	15
21207	0	49.0809	13.6364
21910	0	42.0993	14.3182
424	0	53.0998	10.4545
21519	0	44.05	10.9091
16967	0	48.0511	10
20391	0	40.0591	21.3636
5856	0	51.0492	10
31098	0	52.0901	7.27273
27350	0	37.0661	12.5
6247	0	36.039	17.0455
16839	0	62.0348	12.9545
2671	0	47.0033	5.90909
14402	0	45.0507	14.0909
259	0	45.0644	9.09091
6065	0	48.0206	14.3182
26558	0	41.0371	12.7273
7010	0	43.0718	9.77273
29676	0	52.0159	8.18182
11143	0	48.0511	12.9545
25988	0	51.0191	7.5
28265	0	40.0524	7.95455
13791	0	40.0097	10.6818
22272	0	50.0185	9.54545
19579	0	72.0417	7.95455
10392	0	40.0532	13.8636
7954	0	37.0505	10.9091
32411	0	52.0799	9.09091
7668	0	48.0224	17.5
11750	0	35.0344	12.2727
31974	0	58.0207	13.4091
29219	0	45.0465	12.7273
24169	0	42.0794	15.4545
18082	0	45.0284	13.8636
16612	0	50.086	10.6818
20909	2	38.0807	45485.7
19133	0	42.1	9.54545
27173	0	47.0302	4.54545
12148	0	44.026	5.22727
32180	0	35.0407	17.2727
15103	0	47.0788	7.72727
25596	0	54.0781	14.0909
16923	0	50.0786	16.5909
4955	0	57.0205	27.2727
20261	0	44.0024	13.1818
14311	0	44.0047	9.77273
21580	0	51.0219	13.4091
27298	0	61.0543	9.09091
15079	0	42.0786	4.54545
15904	0	57.0293	14.3182
23157	0	52.0751	13.1818
26505	0	50.0631	12.2727
2388	0	47.0233	7.5
28790	0	43.0962	5.45455
29086	0	45.0406	12.5
17759	0	51.0463	19.7727
27105	0	45.0061	7.27273
20960	0	42.051	6.59091
19925	0	43.0406	9.54545
31687	0	56.0785	13.6364
20710	0	36.0423	12.0455
26680	0	42.0322	25.9091
24611	0	52.0652	6.81818
22214	0	43.0337	10.4545
26340	0	45.083	10
10456	0	48.0641	15.4545
7669	0	50.0119	9.31818
29734	0	56.0975	11.5909
30527	0	46.0811	13.1818
31434	0	40.0208	8.63636
3913	0	45.0798	11.8182
10537	0	50.0822	8.18182
26245	0	43.087	14.3182
19489	0	39.0701	20.9091
9611	0	47.0802	9.77273
26555	0	47.0886	10.9091
25407	0	42.0431	16.8182
22339	0	55.0086	7.27273
478	0	42.0577	10
12945	0	46.0454	14.7727
27890	0	51.0856	12.2727
3110	0	50.0809	9.09091
10312	0	50.0332	8.18182
