Seed	CV	CpuTime	PRPD
4272	0	100.009	0
20846	2	100.031	32500
15800	1	100.01	16200
724	2	100.022	32500
26098	2	100.006	32500
12777	4	100.016	65000
25314	2	100.005	32500
4201	2	100.015	32500
23997	1	100.037	16200
19249	3	100.014	48700
12408	0	100.004	0
6480	0	100.021	0
27763	3	100.038	48700
30248	3	100.016	48700
21673	1	100.01	16200
22175	2	100.01	32500
32105	2	100.032	32500
11071	1	100.021	16200
26156	6	100.016	97500
30156	3	100.036	48700
18884	2	100.001	32500
2052	4	100.029	65000
29698	0	100.019	0
17512	1	100.035	16200
18120	0	100.015	0
