Seed	CV	CpuTime	PRPD
7630	0	29.0105	0
22215	4	27.0517	64934.3
18220	2	27.0854	32470.8
22249	2	23.0122	32470.6
31876	0	26.0303	0
22573	0	24.0883	0
8400	1	24.0845	16230.4
18501	1	25.0859	16230.5
22006	0	25.0352	0
12033	1	26.08	16230.4
11046	0	23.062	0
26161	0	21.0169	0.162338
14581	1	26.0815	16230.5
31351	2	27.0038	32470.8
16931	1	26.0527	16230.4
15611	1	20.0755	16236.9
10461	0	26.0236	0.162338
30803	2	23.06	32466.9
11820	1	25.0669	16236.2
32210	1	28.0567	16229.5
5233	1	24.0729	16234.6
14984	1	26.0529	16229.4
29431	2	28.0729	32463
18713	1	26.0846	16236.5
14036	1	26.0845	16230.4
12590	1	23.0691	16229.5
24529	2	27.0306	32464
12637	0	26.0377	0.162338
30514	2	24.055	32465.6
30964	1	24.0837	16229.5
25278	2	26.0607	32463
10432	1	25.0812	16230.5
32642	2	26.0875	32464
18236	0	26.0042	0.162338
25541	2	28.0475	32470.6
7021	0	24.0119	0
10140	0	23.0047	0.162338
10351	0	24.0997	0
10180	0	26.0839	0
26496	0	29.0722	0
15922	1	22.0398	16229.4
29372	1	30.0819	16230.4
5385	0	27.0125	0
9376	1	29.0954	16230.5
9077	2	34.0524	32470.6
27857	2	24.0838	32472.1
7502	0	25.01	0.162338
4754	0	27.0312	0
26265	1	26.0779	16230.5
21458	1	24.0663	16230.4
606	1	26.096	16230.5
30684	2	25.0865	32465.6
10621	4	30.0398	64925.6
31157	2	28.0651	32470.6
29634	1	26.0009	16230.4
30182	2	25.0628	32465.6
32411	0	27.0487	0.162338
4238	1	27.0669	16229.5
1333	1	27.0324	16230.4
24726	0	24.0737	0.162338
14620	1	25.045	16230.4
31974	2	27.0246	32467.4
31873	0	27.061	0
9346	0	24.0564	0
26952	1	28.0968	16229.4
32587	0	22.0624	0.162338
10216	2	25.0758	32465.7
997	5	26.0006	81175.2
25823	1	31.0648	16230.4
9811	1	25.0947	16229.4
12424	2	27.0745	32470.6
15305	1	28.0552	16229.5
13472	1	24.0145	16230.2
32614	1	25.0086	16230.5
15516	2	25.0807	32462.8
15540	0	25.0694	0.974026
26809	2	27.0834	32462.8
19178	1	24.0688	16236.2
29502	0	26.0711	0.162338
4722	1	25.0032	16234.7
7234	1	25.0484	16230.5
19356	1	24.048	16230.5
6757	0	26.077	0
28089	0	25.0392	0
12315	2	27.0596	32469.5
27387	0	28.0051	0
7059	0	26.0887	0
2194	2	27.0807	32465.9
18619	0	25.0134	0
10592	1	27.0223	16229.4
31993	0	28.0091	0.162338
21492	0	28.0477	0
17863	1	28.0087	16229.5
8618	0	24.0355	0
10776	2	25.0697	32464
3572	0	23.0594	0.162338
16472	2	28.0243	32463
25773	0	26.0083	0
11443	0	27.0354	0
17582	1	25.002	16236
