Seed	CV	CpuTime	PRPD
8034	75	0.0180759	1.21966e+06
2072	76	0.0152936	1.23592e+06
1283	76	0.0185031	1.23593e+06
9764	76	0.0153885	1.23593e+06
9741	76	0.0148923	1.23592e+06
14969	74	0.0188099	1.20339e+06
32422	77	0.0112238	1.25221e+06
24325	74	0.0149365	1.20342e+06
20544	78	0.0185829	1.26843e+06
10997	74	0.0157354	1.20339e+06
24061	75	0.016376	1.21967e+06
10183	76	0.011729	1.23593e+06
10208	73	0.0147595	1.18714e+06
6996	77	0.014015	1.25217e+06
26502	74	0.012378	1.2034e+06
19129	73	0.0126612	1.18715e+06
23259	75	0.0174624	1.21966e+06
29012	78	0.0167711	1.26844e+06
523	73	0.0142965	1.18715e+06
11010	75	0.0140847	1.21966e+06
4951	78	0.011478	1.26844e+06
20222	71	0.0173052	1.15461e+06
3040	75	0.0121702	1.21967e+06
20384	74	0.0140556	1.20338e+06
17553	76	0.0160327	1.23593e+06
11299	73	0.0169317	1.18713e+06
13188	78	0.0126695	1.26845e+06
11511	74	0.0173122	1.20339e+06
13825	77	0.0176508	1.25218e+06
9915	77	0.0109448	1.25219e+06
31799	77	0.014186	1.2522e+06
751	76	0.0145782	1.23591e+06
8395	77	0.0133329	1.25219e+06
5152	73	0.0135808	1.18715e+06
16921	77	0.0150135	1.25218e+06
13583	75	0.0152367	1.21968e+06
3207	72	0.0135978	1.17087e+06
2077	75	0.0152154	1.21964e+06
12462	76	0.0139141	1.23594e+06
32302	77	0.0124348	1.25219e+06
1669	77	0.0134227	1.25219e+06
7297	75	0.0188913	1.21963e+06
27845	76	0.0139717	1.23592e+06
10404	77	0.0134027	1.2522e+06
11969	76	0.0166064	1.23593e+06
6932	76	0.0136258	1.23593e+06
24377	74	0.0178144	1.2034e+06
19821	76	0.0163867	1.23591e+06
19300	75	0.0160206	1.21967e+06
11449	72	0.015088	1.17089e+06
15026	78	0.0165864	1.26845e+06
11358	77	0.0145825	1.25219e+06
310	75	0.0139223	1.21967e+06
9254	78	0.0163215	1.26844e+06
31395	77	0.0149043	1.25218e+06
4608	78	0.0148219	1.26843e+06
18848	78	0.0165181	1.26844e+06
17586	75	0.0133387	1.21966e+06
5808	77	0.0153062	1.25219e+06
2103	76	0.0183679	1.23591e+06
21388	74	0.0145392	1.20339e+06
12979	77	0.0116468	1.25221e+06
12498	78	0.0159099	1.26841e+06
23531	75	0.0162796	1.21968e+06
14138	75	0.0163003	1.21966e+06
174	75	0.0154889	1.21966e+06
11601	77	0.0178363	1.25218e+06
12208	75	0.0121058	1.21968e+06
32380	76	0.0133691	1.23591e+06
983	75	0.0143263	1.21967e+06
21467	72	0.0139106	1.17088e+06
24881	76	0.0163803	1.23591e+06
22560	77	0.012965	1.25219e+06
24145	73	0.0175681	1.18715e+06
11500	76	0.0134572	1.23594e+06
19428	79	0.0206332	1.28471e+06
337	76	0.0142785	1.23592e+06
5613	75	0.0168546	1.21968e+06
2420	74	0.0157295	1.20338e+06
15726	77	0.0130254	1.25218e+06
3503	77	0.0150754	1.25218e+06
2051	76	0.0184817	1.23592e+06
13249	76	0.0168123	1.23592e+06
18651	75	0.014478	1.21965e+06
8914	75	0.0162852	1.21966e+06
3310	78	0.0121198	1.26845e+06
27105	77	0.013532	1.2522e+06
23228	74	0.0194688	1.2034e+06
6270	79	0.0106534	1.28472e+06
1693	76	0.0190547	1.23591e+06
27889	77	0.0126424	1.25218e+06
22059	78	0.016817	1.26845e+06
21759	78	0.0179244	1.26844e+06
27348	79	0.0190276	1.28468e+06
1347	74	0.013853	1.2034e+06
12291	76	0.013814	1.23592e+06
17282	76	0.0164306	1.23594e+06
12019	79	0.0149662	1.28471e+06
22572	76	0.0136461	1.23591e+06
22241	78	0.0139251	1.26845e+06
