Seed	CV	CpuTime	PRPD
19801	49	16.0943	1.00413e+06
16077	55	19.0207	1.12708e+06
4632	50	18.0175	1.02464e+06
29863	59	14.0009	1.20906e+06
2668	58	15.0907	1.18855e+06
14517	47	19.0441	963148
8005	36	13.0544	737743
9496	54	15.0514	1.10659e+06
32651	53	16.0407	1.08611e+06
13852	51	16.0646	1.04512e+06
9602	55	18.0751	1.12708e+06
14636	55	15.0087	1.12709e+06
3909	51	16.0047	1.0451e+06
2183	48	14.048	983641
62	44	15.0643	901661
27319	56	13.0896	1.1476e+06
18306	52	15.0095	1.06562e+06
12491	51	13.0219	1.04512e+06
1168	50	15.0462	1.02461e+06
4583	56	19.0388	1.14758e+06
27312	57	17.0825	1.16808e+06
27371	40	16.0522	819702
6529	44	25.0954	901666
3042	56	20.0159	1.14756e+06
18027	62	14.0204	1.27055e+06
18012	52	13.0859	1.06563e+06
17535	43	19.0255	881178
1717	55	13.0753	1.1271e+06
31321	61	13.0959	1.25002e+06
1315	52	15.0261	1.06562e+06
31040	48	16.0556	983633
3482	50	20.0062	1.0246e+06
11446	51	21.0805	1.04512e+06
301	50	14.0018	1.02465e+06
19679	50	14.0026	1.02462e+06
31085	48	14.069	983647
31038	47	17.0233	963131
23851	41	16.0844	840189
21331	64	15.0974	1.31151e+06
9458	51	15.0234	1.04511e+06
7275	61	17.0698	1.25003e+06
30056	52	14.0089	1.06561e+06
13677	54	13.0492	1.1066e+06
4456	54	16.0656	1.10659e+06
20949	64	15.0453	1.31151e+06
8095	54	14.0481	1.10659e+06
7858	54	18.0868	1.10657e+06
25046	55	19.0649	1.12708e+06
25136	56	12.031	1.14758e+06
28092	54	17.0569	1.10658e+06
23923	47	16.0727	963145
15629	56	19.0492	1.14756e+06
12529	62	13.023	1.27053e+06
19416	55	17.0735	1.12708e+06
31036	41	17.0584	840203
30345	50	14.0383	1.02462e+06
11191	61	13.022	1.25006e+06
398	55	13.0457	1.1271e+06
19619	52	15.0445	1.06563e+06
27795	51	14.08	1.04513e+06
20015	50	19.0053	1.02463e+06
10517	48	13.0671	983654
19377	56	17.0213	1.14756e+06
31840	50	18.0648	1.02462e+06
2727	58	14.0115	1.18856e+06
6865	60	20.0048	1.22954e+06
17070	52	13.0265	1.06562e+06
26072	52	15.0964	1.06562e+06
24517	57	16.043	1.16806e+06
7390	58	13.061	1.18856e+06
17634	47	18.0802	963149
32632	54	16.0943	1.10659e+06
8276	51	16.0954	1.04511e+06
7399	60	16.0995	1.22954e+06
7228	47	16.037	963152
24219	42	15.0501	860682
11822	53	19.0327	1.0861e+06
433	55	18.0213	1.12709e+06
17402	50	16.0875	1.02463e+06
27220	45	19.0261	922167
22421	56	14.0761	1.14758e+06
32266	53	16.0503	1.08609e+06
25484	48	18.0209	983633
7976	59	14.0973	1.20905e+06
4658	54	14.0193	1.10659e+06
19855	53	14.0128	1.08611e+06
1135	58	17.008	1.18856e+06
12826	57	13.0962	1.16809e+06
23062	48	16.0605	983649
30625	46	20.0313	942655
32756	54	16.0915	1.10659e+06
4563	55	20.0182	1.12708e+06
14860	47	17.0489	963144
32010	57	15.0406	1.16808e+06
22390	46	22.0065	942652
12626	57	15.0227	1.16806e+06
9475	53	14.0366	1.08609e+06
27109	56	16.0626	1.14757e+06
28581	49	18.0321	1.00415e+06
19781	58	15.0738	1.18855e+06
