Seed	CV	CpuTime	PRPD
19801	40	20.0512	819693
16077	57	17.0089	1.16807e+06
4632	37	19.0674	758218
29863	35	23.0955	717231
2668	48	24.0511	983622
14517	39	21.0961	799199
8005	45	22.0084	922165
9496	17	37.0331	348368
32651	45	21.0615	922152
13852	46	19.0465	942646
9602	48	19.0463	983626
14636	35	22.0968	717242
3909	42	26.0947	860683
2183	31	24.0553	635260
62	41	20.0805	840180
27319	29	23.043	594282
18306	28	30.0191	573803
12491	48	23.0237	983612
1168	46	19.0901	942650
4583	44	23.038	901651
27312	51	20.0476	1.04512e+06
27371	25	25.0596	512311
6529	35	19.0458	717227
3042	39	22.0689	799197
18027	42	24.041	860669
18012	31	25.0547	635268
17535	33	25.0911	676245
1717	38	27.0328	778705
31321	46	19.0861	942646
1315	33	25.0123	676253
31040	34	26.0791	696737
3482	47	19.0801	963113
11446	31	29.0354	635260
301	37	25.0314	758223
19679	44	18.0056	901649
31085	43	20.0537	881157
31038	45	21.079	922157
23851	29	32.0989	594274
21331	48	21.027	983625
9458	48	23.0378	983623
7275	39	23.038	799184
30056	30	26.0681	614778
13677	37	23.0994	758217
4456	43	26.0115	881158
20949	33	23.0904	676240
8095	28	20.0626	573790
7858	43	23.038	881182
25046	36	21.0697	737723
25136	38	27.056	778710
28092	48	21.0954	983627
23923	34	19.0656	696745
15629	53	17.0373	1.08608e+06
12529	30	23.0683	614775
19416	41	19.0156	840181
31036	38	19.0847	778728
30345	39	20.0928	799209
11191	42	19.0991	860668
398	43	22.0647	881168
19619	41	16.0489	840186
27795	35	27.0747	717230
20015	35	25.0833	717233
10517	47	23.024	963157
19377	41	22.0524	840177
31840	37	28.0523	758208
2727	43	22.0753	881175
6865	39	20.047	799204
17070	47	23.0348	963139
26072	41	24.0183	840179
24517	48	19.0667	983629
7390	39	24.045	799200
17634	44	20.0078	901662
32632	37	20.0021	758214
8276	47	21.0229	963145
7399	47	19.0421	963140
7228	39	23.0841	799197
24219	39	17.0546	799196
11822	30	23.0115	614772
433	33	22.0925	676253
17402	27	30.0905	553295
27220	46	22.0121	942644
22421	44	21.0312	901651
32266	42	21.0795	860684
25484	42	25.0328	860674
7976	44	20.0297	901655
4658	43	22.0485	881162
19855	41	25.0353	840173
1135	36	20.0797	737739
12826	42	22.0749	860681
23062	42	23.0083	860684
30625	32	23.003	655759
32756	52	17.0848	1.06561e+06
4563	45	21.0635	922156
14860	39	27.0192	799196
32010	45	26.0058	922150
22390	37	21.0465	758232
12626	33	24.0614	676245
9475	40	19.0579	819682
27109	37	28.0452	758209
28581	45	19.0909	922145
19781	31	28.0243	635263
