Seed	CV	CpuTime	PRPD
19801	0	31.0629	7.37705
16077	0	39.0821	9.42623
4632	0	31.0577	10.2459
29863	0	32.0128	13.9344
2668	0	35.0265	14.5492
14517	0	29.0089	11.8852
8005	0	33.084	17.8279
9496	0	35.0422	11.4754
32651	0	35.0631	12.7049
13852	0	33.0176	5.12295
9602	0	34.0354	12.5
14636	0	33.0193	12.5
3909	0	32.0027	13.1148
2183	0	36.0636	12.2951
62	0	32.0689	21.1066
27319	0	33.069	16.5984
18306	0	33.0958	13.1148
12491	0	33.0137	11.2705
1168	0	37.0321	10.4508
4583	0	33.027	14.5492
27312	0	30.0943	16.5984
27371	0	31.0674	7.37705
6529	0	32.0896	5.32787
3042	0	35.0966	18.6475
18027	0	32.06	15.7787
18012	0	35.0139	15.9836
17535	0	31.0175	10.041
1717	0	33.0843	6.35246
31321	0	31.0325	10.2459
1315	0	33.09	8.19672
31040	0	32.048	10.4508
3482	0	38.0523	10.8607
11446	0	34.0153	15.7787
301	0	27.099	17.2131
19679	0	30.0475	21.5164
31085	0	30.0812	13.9344
31038	0	30.0949	7.78689
23851	0	30.0705	15.5738
21331	0	36.0735	8.81148
9458	0	32.0725	16.3934
7275	0	30.0188	11.4754
30056	0	34.0482	10.041
13677	0	29.0864	9.22131
4456	0	34.0391	8.60656
20949	0	32.0811	7.78689
8095	0	33.0298	13.3197
7858	0	33.0041	3.89344
25046	0	34.035	11.2705
25136	0	33.0835	12.5
28092	0	35.0776	7.58197
23923	0	35.0406	12.5
15629	0	34.078	14.3443
12529	0	30.0091	14.7541
19416	0	30.0936	18.8525
31036	0	37.0789	18.4426
30345	0	30.0409	10.041
11191	0	34.0321	12.5
398	0	36.0014	25.2049
19619	0	36.0259	3.48361
27795	0	34.0806	21.7213
20015	0	32.0874	11.2705
10517	0	35.0572	20.082
19377	0	35.0097	5.53279
31840	0	33.0521	12.5
2727	0	33.096	21.3115
6865	0	35.0536	14.3443
17070	0	36.0912	10.8607
26072	0	26.0538	18.4426
24517	0	33.0167	10.4508
7390	0	34.0745	12.7049
17634	0	38.0689	17.418
32632	0	36.0201	7.17213
8276	0	41.0746	13.5246
7399	0	29.079	11.0656
7228	0	34.0314	12.5
24219	0	32.0096	9.01639
11822	0	34.0258	15.1639
433	0	32.0282	8.81148
17402	0	39.0086	21.5164
27220	0	32.0723	20.4918
22421	0	32.04	9.01639
32266	0	31.0588	4.30328
25484	0	30.0803	21.5164
7976	0	35.045	11.6803
4658	0	37.0299	20.4918
19855	0	29.0269	8.81148
1135	0	33.0978	13.7295
12826	0	35.0313	14.959
23062	0	32.065	18.0328
30625	0	28.0687	24.1803
32756	0	33.0017	9.42623
4563	0	32.0108	22.3361
14860	0	37.0649	23.7705
32010	0	29.0568	14.7541
22390	0	29.0384	12.0902
12626	0	33.0619	20.2869
9475	0	35.0051	10.2459
27109	0	30.0417	8.40164
28581	0	31.0453	14.1393
19781	0	32.0493	12.9098
