Seed	CV	CpuTime	PRPD
19801	74	0.0102992	1.51663e+06
16077	78	0.00853949	1.59857e+06
4632	72	0.00992377	1.47562e+06
29863	76	0.00928714	1.55761e+06
2668	72	0.0125365	1.47566e+06
14517	70	0.00985111	1.43463e+06
8005	66	0.011551	1.35267e+06
9496	71	0.010318	1.45513e+06
32651	71	0.00892846	1.45513e+06
13852	74	0.00769205	1.51663e+06
9602	74	0.0133517	1.51661e+06
14636	70	0.00845412	1.43464e+06
3909	75	0.00633061	1.53711e+06
2183	70	0.0120223	1.43463e+06
62	75	0.00826174	1.53714e+06
27319	74	0.00798987	1.51661e+06
18306	73	0.00979905	1.49612e+06
12491	75	0.0079855	1.53711e+06
1168	77	0.0117969	1.57807e+06
4583	75	0.00833736	1.53711e+06
27312	75	0.00954833	1.53709e+06
27371	64	0.0102441	1.3117e+06
6529	69	0.0064706	1.41414e+06
3042	75	0.00895933	1.53713e+06
18027	74	0.0116745	1.51663e+06
18012	74	0.00762997	1.51661e+06
17535	74	0.0100832	1.5166e+06
1717	75	0.01212	1.53711e+06
31321	76	0.0120069	1.5576e+06
1315	74	0.0113589	1.51662e+06
31040	69	0.0105224	1.41414e+06
3482	71	0.00894187	1.45514e+06
11446	75	0.0102929	1.5371e+06
301	73	0.00670873	1.49613e+06
19679	71	0.00631919	1.45513e+06
31085	78	0.00796503	1.59859e+06
31038	78	0.00797447	1.59861e+06
23851	75	0.0095955	1.53711e+06
21331	74	0.00859378	1.51662e+06
9458	74	0.0109896	1.51662e+06
7275	73	0.0103508	1.49612e+06
30056	78	0.00933018	1.59858e+06
13677	68	0.0100432	1.39365e+06
4456	73	0.0141841	1.4961e+06
20949	77	0.0108575	1.57808e+06
8095	74	0.0122614	1.51661e+06
7858	76	0.0111854	1.55761e+06
25046	76	0.00734471	1.5576e+06
25136	68	0.0136803	1.39364e+06
28092	77	0.00832857	1.57811e+06
23923	72	0.00751257	1.47564e+06
15629	74	0.00668569	1.51664e+06
12529	71	0.010891	1.45514e+06
19416	70	0.0117939	1.43465e+06
31036	73	0.0101389	1.49614e+06
30345	76	0.00959285	1.5576e+06
11191	78	0.00864245	1.59861e+06
398	75	0.010939	1.53711e+06
19619	76	0.0104638	1.55761e+06
27795	75	0.00942827	1.5371e+06
20015	74	0.00995167	1.51659e+06
10517	77	0.0102089	1.57809e+06
19377	77	0.0104265	1.57812e+06
31840	75	0.00769733	1.5371e+06
2727	74	0.00729626	1.51663e+06
6865	75	0.0116279	1.53709e+06
17070	71	0.0140368	1.45514e+06
26072	69	0.0122792	1.41417e+06
24517	74	0.00891715	1.5166e+06
7390	76	0.00992025	1.55761e+06
17634	72	0.0134018	1.47561e+06
32632	73	0.00880815	1.49614e+06
8276	76	0.0116013	1.5576e+06
7399	78	0.0150152	1.59856e+06
7228	74	0.0102653	1.51661e+06
24219	66	0.00655835	1.35267e+06
11822	77	0.0091792	1.57807e+06
433	73	0.0111089	1.49611e+06
17402	72	0.0123028	1.4756e+06
27220	75	0.00910146	1.5371e+06
22421	76	0.00829682	1.55763e+06
32266	74	0.00951683	1.51662e+06
25484	66	0.00777164	1.35266e+06
7976	72	0.0118756	1.47561e+06
4658	69	0.00729321	1.4142e+06
19855	71	0.0109266	1.45513e+06
1135	76	0.00719491	1.55763e+06
12826	77	0.0122752	1.57806e+06
23062	76	0.00700602	1.55761e+06
30625	71	0.00821284	1.45513e+06
32756	74	0.00986902	1.51661e+06
4563	77	0.00971175	1.57808e+06
14860	72	0.0144899	1.47562e+06
32010	73	0.0121129	1.49613e+06
22390	68	0.00721603	1.39368e+06
12626	70	0.0171723	1.43461e+06
9475	73	0.00805452	1.4961e+06
27109	71	0.0113037	1.45514e+06
28581	75	0.00854372	1.53711e+06
19781	72	0.00755635	1.47561e+06
