Seed	CV	CpuTime	PRPD
12626	1	39.0288	13568.1
8285	1	40.0954	13567
29052	1	36.0895	13567.8
4271	2	35.0508	27137.9
27623	1	39.024	13568.1
17103	1	37.024	13568.8
22594	1	38.0646	13568.1
32163	2	31.0073	27135.8
941	1	33.0445	13568.1
30011	0	35.0606	1.08548
9748	1	38.0698	13568.8
28039	1	34.0494	13568.1
28035	1	35.0624	13567.7
24855	1	33.0867	13567
19752	2	35.0032	27135.8
13878	1	41.0338	13567
16274	1	40.0716	13567
3725	1	38.0922	13568.1
21514	0	34.0928	0
6317	1	35.0783	13567
14041	1	36.076	13568.1
32586	1	35.0835	13568.1
27429	1	33.0348	13568.8
19854	2	37.0207	27135.8
17932	2	33.0839	27136
28693	1	38.0647	13568.1
12529	1	36.0305	13565.5
16306	1	38.0053	13567
30144	1	39.0085	13568.1
14939	1	36.0791	13567
24576	1	35.0476	13568.1
22172	2	32.0949	27135.5
16372	1	41.0629	13567.8
12623	1	34.0434	13568.1
22848	2	39.0648	27135.8
5660	2	39.0264	27132.6
16557	1	35.0234	13567
20496	1	36.0537	13569.1
20982	1	36.0472	13568.1
30269	1	39.0888	13568.1
9815	1	38.027	13568.1
17035	1	37.082	13567
19781	1	39.0477	13568.8
28445	1	37.0632	13568.9
6224	0	34.0574	1.08548
22861	1	36.0917	13567
23711	2	33.0507	27136.6
25915	1	35.0677	13568.9
13588	1	39.0318	13568.8
26487	2	37.0339	27136.8
29093	2	35.0462	27132.6
12895	0	34.0661	1.76391
32529	1	36.0459	13568.1
21772	1	35.069	13567
8614	1	35.0549	13567.7
18890	2	30.0717	27136
4606	1	33.0549	13568.1
22709	1	39.0108	13567
23879	1	34.0035	13567
3307	1	36.0238	13567
15727	3	34.0382	40705.2
21708	1	34.0768	13568.1
17550	2	35.065	27134.7
18328	1	41.0114	13568.1
25103	2	37.0432	27137
26867	0	36.0378	0
11690	1	37.0426	13567.8
12562	1	38.0581	13567
9127	2	30.045	27135.8
13281	1	37.0922	13568.9
3155	1	34.0625	13567
16812	1	42.0325	13568.9
15834	1	34.0981	13567
13142	2	36.0282	27132.6
164	1	31.0516	13567
4005	1	33.0518	13568.1
6643	1	37.0681	13568.1
13393	2	35.0275	27134.7
27457	1	39.0434	13568.1
7066	1	34.0464	13567.8
19945	2	41.0457	27132.6
694	1	35.0996	13568.1
5824	0	36.0317	1.08548
7006	1	36.0812	13567
15652	1	31.0687	13567
7881	1	39.078	13568.1
19608	1	36.0253	13567
12239	1	35.0629	13568.1
16647	1	41.0998	13568.8
24653	1	39.0229	13568.1
29464	1	33.0135	13569.1
14325	1	35.0377	13567
14400	1	39.0756	13568.1
9087	2	36.0166	27136.5
33	1	39.0076	13567.8
9767	1	36.0897	13567
25083	1	39.038	13568.9
18064	1	36.0593	13568.8
9210	1	41.0849	13568.1
4297	1	34.0105	13568.1
