Seed	CV	CpuTime	PRPD
12626	1	50.1	13567
8285	1	49.0807	13567
29052	1	48.0142	13567.8
4271	1	56.0373	13567
27623	1	52.0251	13567
17103	0	47.0261	0
22594	0	53.038	0
32163	1	40.0053	13567
941	1	47.0558	13567
30011	1	49.0616	13567
9748	1	46.0756	13567
28039	1	45.0148	13567
28035	1	48.0194	13567
24855	1	50.0885	13567
19752	2	53.0361	27131.5
13878	1	58.0598	13567
16274	1	49.0259	13567
3725	1	50.0537	13567
21514	1	45.0055	13567
6317	1	53.0165	13567.8
14041	1	58.0711	13567
32586	1	55.0212	13567
27429	1	54.0596	13567
19854	1	47.0953	13567
17932	1	60.0609	13564.5
28693	1	54.0121	13567
12529	1	52.0107	13567
16306	1	51.0689	13567
30144	2	51.0464	27136.5
14939	0	49.0287	0
24576	1	44.0658	13567
22172	1	49.0357	13567
16372	1	52.0776	13567
12623	1	49.0881	13567
22848	1	46.0081	13567
5660	1	49.0612	13567
16557	1	53.0611	13567
20496	1	51.0117	13567
20982	1	47.0675	13567
30269	1	52.0278	13567
9815	0	61.0079	0
17035	1	58.098	13567
19781	0	53.0926	0
28445	0	55.0407	0
6224	1	51.058	13567
22861	1	51.0781	13567
23711	1	55.0432	13567
25915	1	49.0931	13567
13588	0	45.0566	0
26487	1	45.021	13567
29093	1	50.0435	13567
12895	1	52.09	13567
32529	0	54.0071	0
21772	1	48.0573	13567
8614	1	46.0938	13567
18890	1	48.0015	13567
4606	1	51.0151	13567
22709	2	52.005	27131.5
23879	1	48.0541	13567.8
3307	1	53.0863	13567
15727	1	49.0672	13567
21708	1	62.0489	13567
17550	1	53.0812	13568
18328	1	54.0096	13567
25103	1	44.0145	13567
26867	1	52.0785	13567
11690	1	53.0069	13567
12562	1	47.0474	13567
9127	1	51.0549	13567
13281	0	46.0684	0
3155	1	59.0384	13567
16812	1	52.0552	13567
15834	1	46.0745	13567
13142	1	50.0104	13567
164	1	53.022	13567
4005	1	53.0102	13567
6643	0	43.0962	0
13393	1	49.0298	13567
27457	0	51.0864	0
7066	2	49.048	27131.5
19945	1	55.0806	13567
694	1	49.0594	13567
5824	1	44.0339	13567
7006	1	48.0144	13567
15652	1	50.0505	13567
7881	1	52.0132	13567
19608	1	51.079	13567
12239	2	48.0405	27131.5
16647	1	53.0746	13567
24653	2	45.0005	27131.5
29464	1	55.0149	13567
14325	1	55.0279	13567
14400	1	50.0574	13567
9087	1	46.0305	13567
33	1	51.0499	13567
9767	1	51.042	13567.8
25083	1	51.0856	13567
18064	1	54.0666	13567
9210	2	60.0413	27131.5
4297	0	48.0317	0
