Seed	CV	CpuTime	PRPD
1038	0	27.0373	0
13912	2	29.0875	29981.1
22684	2	27.0151	29981.1
5933	3	27.0247	44974.8
2942	2	32.0065	29980.4
6629	1	25.0754	14990.9
5547	1	24.0529	14990.9
6555	1	29.0562	14992.1
16127	1	27.0808	14990.9
3565	0	25.0982	0
17422	1	29.0921	14990.3
31449	2	26.0822	29982.9
17052	2	27.0574	29981.1
16540	2	26.0702	29982.8
31177	1	24.033	14990.9
8435	1	29.0433	14990.9
16394	2	29.0118	29981.1
22581	1	32.0258	14990.9
10764	0	28.0296	0
12641	1	26.0618	14990.9
30919	1	26.0282	14990.3
32549	1	30.0436	14992.1
1858	2	23.056	29980.5
3588	2	25.0207	29982.9
12136	2	24.0245	29981.1
3086	3	22.0196	44972.6
8766	0	27.077	0
11180	2	28.0811	29982.9
14277	2	26.0912	29981.1
1010	2	29.0582	29981.7
14184	1	25.089	14990.9
9880	2	24.0825	29982.9
30914	1	25.0673	14992.1
11599	0	27.0053	0
21222	1	28.0173	14990.9
1227	2	26.0753	29981.1
18869	2	29.0765	29982.9
8826	1	25.0313	14990.3
4207	2	22.087	29982.9
5110	1	24.0925	14990.7
4429	1	26.0121	14990.3
4876	1	24.0834	14990.9
13262	1	29.0673	14990.9
6928	2	27.0521	29982.9
17182	2	27.0786	29981.1
3066	1	24.0085	14992.1
21391	1	27.0956	14990.9
26084	2	25.0402	29982.9
2351	0	27.0398	0
28328	0	27.0143	0
497	2	24.0996	29981.1
6951	2	28.0731	29982.2
15058	2	27.0242	29981.7
14131	0	23.038	0
7717	2	27.0594	29982.9
16230	0	25.0944	0
29890	2	24.0656	29981.1
10155	2	27.0555	29981.1
25318	2	26.0947	29982.9
27268	0	27.0983	0
13194	2	26.0134	29981
16037	1	27.0759	14990.9
19748	2	26.0006	29981.1
11345	1	27.0057	14992.1
2596	0	25.0882	0
18711	2	25.0727	29980.5
14592	1	25.0209	14992.1
14706	1	27.0577	14992.1
6110	2	30.0459	29982.2
5806	0	24.0606	0
5557	2	27.0788	29981.1
11711	1	27.0502	14990.9
22457	2	25.0579	29982
27418	1	26.0199	14990.3
9562	1	30.026	14991
17060	2	27.0525	29982.9
20234	2	27.0235	29982.8
13154	2	24.0787	29981
2497	1	26.0537	14990.3
27898	0	30.0504	0
6834	1	25.0537	14990.9
9376	1	25.0664	14992.1
3158	0	26.0532	0
31391	1	27.0751	14992.1
28119	1	25.0026	14992.1
16386	1	25.0122	14992.1
17488	1	28.0736	14992.1
2517	2	26.034	29982.9
7495	2	27.0467	29982.9
24207	0	27.0424	0
5344	2	23.0812	29980.5
7825	2	26.0965	29981.1
22165	4	27.0285	59965.4
25927	2	27.015	29982.9
10123	2	25.0574	29981.1
6718	0	26.0609	0
4788	2	27.0608	29982.9
8982	1	28.0204	14990.9
10433	2	30.0152	29981.1
9884	3	24.0413	44970.6
