Seed	CV	CpuTime	PRPD
21989	0	30.0293	22.0532
15590	1	37.0873	19027.4
14412	0	32.0181	13.8783
12854	2	41.031	38027.9
5176	1	35.0761	19026.6
29270	0	40.0002	15.9696
31318	0	35.0155	0.95057
16755	0	34.0707	7.98479
7347	0	36.0259	6.84411
13337	0	40.059	7.22433
5698	2	34.0314	38038.2
23733	0	33.0166	12.5475
29299	0	25.007	12.9278
6759	1	29.0523	19020.3
27346	0	36.0488	3.04183
9459	2	32.0323	38024.9
26411	0	41.0963	4.75285
19966	0	31.0781	2.6616
29770	0	34.0492	3.04183
10341	0	27.0509	18.251
2187	0	30.0936	12.3574
29056	0	32.0614	13.8783
15527	0	35.0768	11.0266
8363	1	28.0091	19029.7
15349	0	28.0266	14.0684
31710	1	30.0791	19019.4
24169	0	31.0636	12.1673
23906	1	24.0821	19020
28235	1	30.0181	19039.9
6244	5	31.0225	95088.6
32343	0	30.0906	9.5057
16580	0	31.0131	0.380228
5007	0	40.0003	4.94297
13511	1	29.0797	19013.5
5161	0	27.0623	6.65399
9234	0	34.0126	10.2662
10709	0	35.0412	5.13308
28406	0	29.0779	11.0266
2738	0	31.0371	7.03422
16080	2	27.0993	38037.1
27059	0	44.0488	4.56274
8	0	29.094	18.6312
15770	0	37.0993	5.51331
31425	0	26.0803	0
17702	0	35.0604	5.13308
18407	1	31.0148	19022.4
4159	0	32.0388	12.3574
13191	0	25.0837	9.88593
5987	0	33.0389	6.46388
25903	1	26.0875	19016.5
31798	0	31.0275	6.27376
30667	1	31.0952	19018.8
22529	2	36.0387	38029.8
19059	1	30.0358	19016.7
25742	0	36.0758	4.37262
18862	0	32.0858	6.65399
16078	0	32.0985	8.93536
31925	1	37.0991	19017.7
2737	0	37.0095	7.79468
29132	1	29.0507	19035.4
6574	0	25.0722	4.56274
2067	0	27.0657	17.8707
15045	0	33.075	16.73
26667	1	37.0628	19017.7
31391	0	40.0534	4.75285
25285	0	42.003	2.85171
245	0	36.0989	13.6882
3109	1	30.0148	19024.5
32534	0	36.0034	7.79468
4940	0	28.0482	14.6388
7855	0	31.0033	9.69582
10488	0	37.0736	5.89354
25679	0	34.0605	8.1749
14783	0	32.0405	8.1749
14245	0	35.0203	7.22433
20020	0	30.0853	13.308
21434	1	38.0719	19021.3
32082	1	33.0718	19022.2
8267	0	34.0993	5.13308
18590	0	32.0057	19.3916
3752	3	30.0264	57051.7
17655	0	26.0815	14.8289
16430	1	30.065	19017.9
16491	2	29.0816	38032.1
22071	0	35.0638	3.80228
16739	0	32.0605	6.46388
23516	0	32.061	7.03422
2108	0	31.0963	4.75285
15072	0	30.0865	4.94297
22457	0	30.0622	11.7871
14891	2	31.0373	38033.8
30603	0	34.0354	12.9278
23326	0	37.087	7.98479
15593	0	25.0278	12.1673
26648	0	35.0738	16.1597
9137	0	39.0583	3.80228
16933	0	33.0439	0
7043	0	34.0098	4.37262
28922	0	34.0006	4.75285
20849	0	33.0408	4.37262
